"Year","District","Electorate","ColNames","Votes","Percentage"
1988,"Colombo","Colombo-North","Mr.Ranasinghe Premadasa",22389,63.26
1988,"Colombo","Colombo-North","Mrs.Sirimavo Ratwatte Dias Bandaranaike",10744,30.36
1988,"Colombo","Colombo-North","Mr.Ahangama Vithanage Oswin Nandimitra Abhayagunasekara",2259,6.38
1988,"Colombo","Colombo-North","Total No of Valid Votes",35392,98.2
1988,"Colombo","Colombo-North","No of Rejected Votes",647,1.8
1988,"Colombo","Colombo-North","Total No of Votes Polled",36039,66.56
1988,"Colombo","Colombo-North","No of Registered Electors",54149,NA
1988,"Colombo","Colombo-Central","Mr.Ranasinghe Premadasa",58795,65.77
1988,"Colombo","Colombo-Central","Mrs.Sirimavo Ratwatte Dias Bandaranaike",26083,29.18
1988,"Colombo","Colombo-Central","Mr.Ahangama Vithanage Oswin Nandimitra Abhayagunasekara",4521,5.06
1988,"Colombo","Colombo-Central","Total No of Valid Votes",89399,98.27
1988,"Colombo","Colombo-Central","No of Rejected Votes",1572,1.73
1988,"Colombo","Colombo-Central","Total No of Votes Polled",90971,67.93
1988,"Colombo","Colombo-Central","No of Registered Electors",133920,NA
1988,"Colombo","Borella","Mr.Ranasinghe Premadasa",16452,52.67
1988,"Colombo","Borella","Mrs.Sirimavo Ratwatte Dias Bandaranaike",13083,41.88
1988,"Colombo","Borella","Mr.Ahangama Vithanage Oswin Nandimitra Abhayagunasekara",1702,5.45
1988,"Colombo","Borella","Total No of Valid Votes",31237,98.43
1988,"Colombo","Borella","No of Rejected Votes",499,1.57
1988,"Colombo","Borella","Total No of Votes Polled",31736,66.23
1988,"Colombo","Borella","No of Registered Electors",47917,NA
1988,"Colombo","Colombo-East","Mr.Ranasinghe Premadasa",16480,51.09
1988,"Colombo","Colombo-East","Mrs.Sirimavo Ratwatte Dias Bandaranaike",13477,41.78
1988,"Colombo","Colombo-East","Mr.Ahangama Vithanage Oswin Nandimitra Abhayagunasekara",2298,7.12
1988,"Colombo","Colombo-East","Total No of Valid Votes",32255,97.98
1988,"Colombo","Colombo-East","No of Rejected Votes",666,2.02
1988,"Colombo","Colombo-East","Total No of Votes Polled",32921,64.27
1988,"Colombo","Colombo-East","No of Registered Electors",51225,NA
1988,"Colombo","Colombo-West","Mr.Ranasinghe Premadasa",14670,62.36
1988,"Colombo","Colombo-West","Mrs.Sirimavo Ratwatte Dias Bandaranaike",7473,31.77
1988,"Colombo","Colombo-West","Mr.Ahangama Vithanage Oswin Nandimitra Abhayagunasekara",1380,5.87
1988,"Colombo","Colombo-West","Total No of Valid Votes",23523,98.57
1988,"Colombo","Colombo-West","No of Rejected Votes",342,1.43
1988,"Colombo","Colombo-West","Total No of Votes Polled",23865,64.12
1988,"Colombo","Colombo-West","No of Registered Electors",37220,NA
1988,"Colombo","Dehiwala","Mr.Ranasinghe Premadasa",18326,50.03
1988,"Colombo","Dehiwala","Mrs.Sirimavo Ratwatte Dias Bandaranaike",16599,45.31
1988,"Colombo","Dehiwala","Mr.Ahangama Vithanage Oswin Nandimitra Abhayagunasekara",1707,4.66
1988,"Colombo","Dehiwala","Total No of Valid Votes",36632,98.6
1988,"Colombo","Dehiwala","No of Rejected Votes",520,1.4
1988,"Colombo","Dehiwala","Total No of Votes Polled",37152,70.14
1988,"Colombo","Dehiwala","No of Registered Electors",52969,NA
1988,"Colombo","Ratmalana","Mr.Ranasinghe Premadasa",18409,47.82
1988,"Colombo","Ratmalana","Mrs.Sirimavo Ratwatte Dias Bandaranaike",18308,47.55
1988,"Colombo","Ratmalana","Mr.Ahangama Vithanage Oswin Nandimitra Abhayagunasekara",1783,4.63
1988,"Colombo","Ratmalana","Total No of Valid Votes",38500,98.51
1988,"Colombo","Ratmalana","No of Rejected Votes",584,1.49
1988,"Colombo","Ratmalana","Total No of Votes Polled",39084,70.74
1988,"Colombo","Ratmalana","No of Registered Electors",55248,NA
1988,"Colombo","Kolonnawa","Mr.Ranasinghe Premadasa",23895,46.53
1988,"Colombo","Kolonnawa","Mrs.Sirimavo Ratwatte Dias Bandaranaike",25050,48.78
1988,"Colombo","Kolonnawa","Mr.Ahangama Vithanage Oswin Nandimitra Abhayagunasekara",2411,4.69
1988,"Colombo","Kolonnawa","Total No of Valid Votes",51356,98.37
1988,"Colombo","Kolonnawa","No of Rejected Votes",849,1.63
1988,"Colombo","Kolonnawa","Total No of Votes Polled",52205,69.01
1988,"Colombo","Kolonnawa","No of Registered Electors",75650,NA
1988,"Colombo","Kotte","Mr.Ranasinghe Premadasa",18834,43.19
1988,"Colombo","Kotte","Mrs.Sirimavo Ratwatte Dias Bandaranaike",22607,51.85
1988,"Colombo","Kotte","Mr.Ahangama Vithanage Oswin Nandimitra Abhayagunasekara",2163,4.96
1988,"Colombo","Kotte","Total No of Valid Votes",43604,98.73
1988,"Colombo","Kotte","No of Rejected Votes",563,1.27
1988,"Colombo","Kotte","Total No of Votes Polled",44167,65.73
1988,"Colombo","Kotte","No of Registered Electors",67194,NA
1988,"Colombo","Kaduwela","Mr.Ranasinghe Premadasa",22872,41.15
1988,"Colombo","Kaduwela","Mrs.Sirimavo Ratwatte Dias Bandaranaike",30600,55.06
1988,"Colombo","Kaduwela","Mr.Ahangama Vithanage Oswin Nandimitra Abhayagunasekara",2108,3.79
1988,"Colombo","Kaduwela","Total No of Valid Votes",55580,98.57
1988,"Colombo","Kaduwela","No of Rejected Votes",806,1.43
1988,"Colombo","Kaduwela","Total No of Votes Polled",56386,64.3
