"Year","District","Electorate","ColNames","Votes","Percentage"
1999,"Colombo","Colombo-North","Abdul Rasool",163,0.31
1999,"Colombo","Colombo-North","Alwis Weerakkody Premawardhana",11,0.02
1999,"Colombo","Colombo-North","Ariyawansha Dissanayaka",14,0.03
1999,"Colombo","Colombo-North","M.D. Nandana Gunathilaka",1281,2.41
1999,"Colombo","Colombo-North","Kamal Karunadasa",46,0.09
1999,"Colombo","Colombo-North","Chandrika Bandaranaike Kumaratunga",18114,34.07
1999,"Colombo","Colombo-North","Tennyson Edirisuriya",86,0.16
1999,"Colombo","Colombo-North","W.V.M. Ranjith",95,0.18
1999,"Colombo","Colombo-North","Ranil Wickramasinghe",32714,61.53
1999,"Colombo","Colombo-North","Rajiva Wijesinha",94,0.18
1999,"Colombo","Colombo-North","Vasudeva Nanayakkara",408,0.77
1999,"Colombo","Colombo-North","Hudson Samarasinghe",26,0.05
1999,"Colombo","Colombo-North","Harishchandra Wijayatunga",115,0.22
1999,"Colombo","Colombo-North","Total No of Valid Votes",53167,97.42
1999,"Colombo","Colombo-North","No of Rejected Votes",1409,2.58
1999,"Colombo","Colombo-North","Total No of Votes Polled",54576,70.47
1999,"Colombo","Colombo-North","No of Registered Electors",77447,NA
1999,"Colombo","Colombo-Central","Abdul Rasool",630,0.64
1999,"Colombo","Colombo-Central","Alwis Weerakkody Premawardhana",24,0.02
1999,"Colombo","Colombo-Central","Ariyawansha Dissanayaka",26,0.03
1999,"Colombo","Colombo-Central","M.D. Nandana Gunathilaka",1955,1.98
1999,"Colombo","Colombo-Central","Kamal Karunadasa",82,0.08
1999,"Colombo","Colombo-Central","Chandrika Bandaranaike Kumaratunga",35416,35.94
1999,"Colombo","Colombo-Central","Tennyson Edirisuriya",104,0.11
1999,"Colombo","Colombo-Central","W.V.M. Ranjith",178,0.18
1999,"Colombo","Colombo-Central","Ranil Wickramasinghe",59234,60.11
1999,"Colombo","Colombo-Central","Rajiva Wijesinha",137,0.14
1999,"Colombo","Colombo-Central","Vasudeva Nanayakkara",424,0.43
1999,"Colombo","Colombo-Central","Hudson Samarasinghe",53,0.05
1999,"Colombo","Colombo-Central","Harishchandra Wijayatunga",272,0.28
1999,"Colombo","Colombo-Central","Total No of Valid Votes",98535,97.42
1999,"Colombo","Colombo-Central","No of Rejected Votes",2605,2.58
1999,"Colombo","Colombo-Central","Total No of Votes Polled",101140,70.24
1999,"Colombo","Colombo-Central","No of Registered Electors",143993,NA
1999,"Colombo","Borella","Abdul Rasool",119,0.31
1999,"Colombo","Borella","Alwis Weerakkody Premawardhana",11,0.03
1999,"Colombo","Borella","Ariyawansha Dissanayaka",5,0.01
1999,"Colombo","Borella","M.D. Nandana Gunathilaka",1289,3.37
1999,"Colombo","Borella","Kamal Karunadasa",23,0.06
1999,"Colombo","Borella","Chandrika Bandaranaike Kumaratunga",17023,44.55
1999,"Colombo","Borella","Tennyson Edirisuriya",42,0.11
1999,"Colombo","Borella","W.V.M. Ranjith",57,0.15
1999,"Colombo","Borella","Ranil Wickramasinghe",19151,50.12
1999,"Colombo","Borella","Rajiva Wijesinha",57,0.15
1999,"Colombo","Borella","Vasudeva Nanayakkara",148,0.39
1999,"Colombo","Borella","Hudson Samarasinghe",13,0.03
1999,"Colombo","Borella","Harishchandra Wijayatunga",275,0.72
1999,"Colombo","Borella","Total No of Valid Votes",38213,97.31
1999,"Colombo","Borella","No of Rejected Votes",1058,2.69
1999,"Colombo","Borella","Total No of Votes Polled",39271,70.97
1999,"Colombo","Borella","No of Registered Electors",55338,NA
1999,"Colombo","Colombo-East","Abdul Rasool",109,0.25
1999,"Colombo","Colombo-East","Alwis Weerakkody Premawardhana",10,0.02
1999,"Colombo","Colombo-East","Ariyawansha Dissanayaka",16,0.04
1999,"Colombo","Colombo-East","M.D. Nandana Gunathilaka",1486,3.47
1999,"Colombo","Colombo-East","Kamal Karunadasa",34,0.08
1999,"Colombo","Colombo-East","Chandrika Bandaranaike Kumaratunga",17777,41.56
1999,"Colombo","Colombo-East","Tennyson Edirisuriya",59,0.14
1999,"Colombo","Colombo-East","W.V.M. Ranjith",61,0.14
1999,"Colombo","Colombo-East","Ranil Wickramasinghe",22281,52.09
1999,"Colombo","Colombo-East","Rajiva Wijesinha",89,0.21
1999,"Colombo","Colombo-East","Vasudeva Nanayakkara",419,0.98
1999,"Colombo","Colombo-East","Hudson Samarasinghe",19,0.04
1999,"Colombo","Colombo-East","Harishchandra Wijayatunga",410,0.96
1999,"Colombo","Colombo-East","Total No of Valid Votes",42770,96.86
1999,"Colombo","Colombo-East","No of Rejected Votes",1388,3.14
1999,"Colombo","Colombo-East","Total No of Votes Polled",44158,68.58
1999,"Colombo","Colombo-East","No of Registered Electors",64386,NA
1999,"Colombo","Colombo-West","Abdul Rasool",92,0.36
1999,"Colombo","Colombo-West","Alwis Weerakkody Premawardhana",6,0.02
1999,"Colombo","Colombo-West","Ariyawansha Dissanayaka",7,0.03
1999,"Colombo","Colombo-West","M.D. Nandana Gunathilaka",406,1.6
1999,"Colombo","Colombo-West","Kamal Karunadasa",13,0.05
1999,"Colombo","Colombo-West","Chandrika Bandaranaike Kumaratunga",7327,28.96
1999,"Colombo","Colombo-West","Tennyson Edirisuriya",36,0.14
1999,"Colombo","Colombo-West","W.V.M. Ranjith",17,0.07
1999,"Colombo","Colombo-West","Ranil Wickramasinghe",16531,65.35
1999,"Colombo","Colombo-West","Rajiva Wijesinha",99,0.39
1999,"Colombo","Colombo-West","Vasudeva Nanayakkara",539,2.13
1999,"Colombo","Colombo-West","Hudson Samarasinghe",15,0.06
1999,"Colombo","Colombo-West","Harishchandra Wijayatunga",210,0.83
1999,"Colombo","Colombo-West","Total No of Valid Votes",25298,96.58
1999,"Colombo","Colombo-West","No of Rejected Votes",896,3.42
1999,"Colombo","Colombo-West","Total No of Votes Polled",26194,64.03
1999,"Colombo","Colombo-West","No of Registered Electors",40908,NA
1999,"Colombo","Dehiwala","Abdul Rasool",86,0.21
1999,"Colombo","Dehiwala","Alwis Weerakkody Premawardhana",16,0.04
1999,"Colombo","Dehiwala","Ariyawansha Dissanayaka",20,0.05
1999,"Colombo","Dehiwala","M.D. Nandana Gunathilaka",1346,3.35
1999,"Colombo","Dehiwala","Kamal Karunadasa",17,0.04
1999,"Colombo","Dehiwala","Chandrika Bandaranaike Kumaratunga",18683,46.48
1999,"Colombo","Dehiwala","Tennyson Edirisuriya",44,0.11
1999,"Colombo","Dehiwala","W.V.M. Ranjith",33,0.08
1999,"Colombo","Dehiwala","Ranil Wickramasinghe",19126,47.58
1999,"Colombo","Dehiwala","Rajiva Wijesinha",78,0.19
1999,"Colombo","Dehiwala","Vasudeva Nanayakkara",324,0.81
1999,"Colombo","Dehiwala","Hudson Samarasinghe",9,0.02
1999,"Colombo","Dehiwala","Harishchandra Wijayatunga",412,1.03
1999,"Colombo","Dehiwala","Total No of Valid Votes",40194,96.53
1999,"Colombo","Dehiwala","No of Rejected Votes",1446,3.47
1999,"Colombo","Dehiwala","Total No of Votes Polled",41640,71.29
1999,"Colombo","Dehiwala","No of Registered Electors",58407,NA
1999,"Colombo","Ratmalana","Abdul Rasool",94,0.21
1999,"Colombo","Ratmalana","Alwis Weerakkody Premawardhana",7,0.02
1999,"Colombo","Ratmalana","Ariyawansha Dissanayaka",18,0.04
1999,"Colombo","Ratmalana","M.D. Nandana Gunathilaka",2514,5.72
1999,"Colombo","Ratmalana","Kamal Karunadasa",36,0.08
1999,"Colombo","Ratmalana","Chandrika Bandaranaike Kumaratunga",22868,52.02
1999,"Colombo","Ratmalana","Tennyson Edirisuriya",60,0.14
1999,"Colombo","Ratmalana","W.V.M. Ranjith",42,0.1
1999,"Colombo","Ratmalana","Ranil Wickramasinghe",17572,39.97
1999,"Colombo","Ratmalana","Rajiva Wijesinha",55,0.13
