"Year","District","Electorate","ColNames","Votes","Percentage"
2015,"Colombo","Colombo-North","Aithurus Mohamed Illias",59,0.09
2015,"Colombo","Colombo-North","Ibrahim Miflar",90,0.13
2015,"Colombo","Colombo-North","Prasanna Priyankara",15,0.02
2015,"Colombo","Colombo-North","Wimal Geeganage",9,0.01
2015,"Colombo","Colombo-North","Sirithunga Jayasuriya",50,0.07
2015,"Colombo","Colombo-North","M. B. Theminimulla",17,0.02
2015,"Colombo","Colombo-North","Pani Wijesiriwardane",29,0.04
2015,"Colombo","Colombo-North","Duminda Nagamuwa",39,0.06
2015,"Colombo","Colombo-North","Panagoda Don Prince Soloman Anura Liyanage",101,0.15
2015,"Colombo","Colombo-North","Maithripala Sirisena",51537,75.07
2015,"Colombo","Colombo-North","Ruwanthilaka Peduru Arachchi",75,0.11
2015,"Colombo","Colombo-North","Anuruddha Polgampala",25,0.04
2015,"Colombo","Colombo-North","Baththaramulle Seelarathana Thero",10,0.01
2015,"Colombo","Colombo-North","Sarath Manamendra",25,0.04
2015,"Colombo","Colombo-North","Arachchige Rathnayaka Sirisena",61,0.09
2015,"Colombo","Colombo-North","Mahinda Rajapaksha",16423,23.92
2015,"Colombo","Colombo-North","Namal Rajapaksa",48,0.07
2015,"Colombo","Colombo-North","Sundaram Mahendran",28,0.04
2015,"Colombo","Colombo-North","Jayantha Kulathunga",8,0.01
2015,"Colombo","Colombo-North","Total No of Valid Votes",68649,98.36
2015,"Colombo","Colombo-North","No of Rejected Votes",1146,1.64
2015,"Colombo","Colombo-North","Total No of Votes Polled",69795,77.75
2015,"Colombo","Colombo-North","No of Registered Electors",89771,NA
2015,"Colombo","Colombo-Central","Aithurus Mohamed Illias",120,0.12
2015,"Colombo","Colombo-Central","Ibrahim Miflar",298,0.29
2015,"Colombo","Colombo-Central","Prasanna Priyankara",19,0.02
2015,"Colombo","Colombo-Central","Wimal Geeganage",17,0.02
2015,"Colombo","Colombo-Central","Sirithunga Jayasuriya",69,0.07
2015,"Colombo","Colombo-Central","M. B. Theminimulla",26,0.03
2015,"Colombo","Colombo-Central","Pani Wijesiriwardane",32,0.03
2015,"Colombo","Colombo-Central","Duminda Nagamuwa",59,0.06
2015,"Colombo","Colombo-Central","Panagoda Don Prince Soloman Anura Liyanage",185,0.18
2015,"Colombo","Colombo-Central","Maithripala Sirisena",82495,81.28
