"Year","District","Electorate","ColNames","Votes","Percentage"
1982,"Colombo","Colombo-North","Mr.J.R. Jayawardene",29380,69.03
1982,"Colombo","Colombo-North","Mr.H.S.R.B.K. Kobbekaduwa",10641,25
1982,"Colombo","Colombo-North","Mr. Rohana Wijeweera",1645,3.86
1982,"Colombo","Colombo-North","Mr.G.G. Ponnambalam",477,1.12
1982,"Colombo","Colombo-North","Dr. Colvin R. De Silva",361,0.85
1982,"Colombo","Colombo-North","Mr. Vasudeva Nanayakkara",60,0.14
1982,"Colombo","Colombo-North","Total No of Valid Votes",42564,98.67
1982,"Colombo","Colombo-North","No of Rejected Votes",575,1.33
1982,"Colombo","Colombo-North","Total No of Votes Polled",43139,74.98
1982,"Colombo","Colombo-North","No of Registered Electors",57534,NA
1982,"Colombo","Colombo-Central","Mr.J.R. Jayawardene",68346,72.81
1982,"Colombo","Colombo-Central","Mr.H.S.R.B.K. Kobbekaduwa",22061,23.5
1982,"Colombo","Colombo-Central","Mr. Rohana Wijeweera",2121,2.26
1982,"Colombo","Colombo-Central","Mr.G.G. Ponnambalam",810,0.86
1982,"Colombo","Colombo-Central","Dr. Colvin R. De Silva",415,0.44
1982,"Colombo","Colombo-Central","Mr. Vasudeva Nanayakkara",110,0.12
1982,"Colombo","Colombo-Central","Total No of Valid Votes",93863,99.22
1982,"Colombo","Colombo-Central","No of Rejected Votes",740,0.78
1982,"Colombo","Colombo-Central","Total No of Votes Polled",94603,74.23
1982,"Colombo","Colombo-Central","No of Registered Electors",127452,NA
1982,"Colombo","Borella","Mr.J.R. Jayawardene",21383,62.93
1982,"Colombo","Borella","Mr.H.S.R.B.K. Kobbekaduwa",10946,32.22
1982,"Colombo","Borella","Mr. Rohana Wijeweera",1058,3.11
1982,"Colombo","Borella","Mr.G.G. Ponnambalam",132,0.39
1982,"Colombo","Borella","Dr. Colvin R. De Silva",395,1.16
1982,"Colombo","Borella","Mr. Vasudeva Nanayakkara",63,0.19
1982,"Colombo","Borella","Total No of Valid Votes",33977,99.11
1982,"Colombo","Borella","No of Rejected Votes",305,0.89
1982,"Colombo","Borella","Total No of Votes Polled",34282,72.75
1982,"Colombo","Borella","No of Registered Electors",47123,NA
1982,"Colombo","Colombo-East","Mr.J.R. Jayawardene",21367,60.57
1982,"Colombo","Colombo-East","Mr.H.S.R.B.K. Kobbekaduwa",11268,31.94
1982,"Colombo","Colombo-East","Mr. Rohana Wijeweera",1352,3.83
1982,"Colombo","Colombo-East","Mr.G.G. Ponnambalam",320,0.91
1982,"Colombo","Colombo-East","Dr. Colvin R. De Silva",828,2.35
1982,"Colombo","Colombo-East","Mr. Vasudeva Nanayakkara",142,0.4
1982,"Colombo","Colombo-East","Total No of Valid Votes",35277,98.81
1982,"Colombo","Colombo-East","No of Rejected Votes",426,1.19
1982,"Colombo","Colombo-East","Total No of Votes Polled",35703,73.22
1982,"Colombo","Colombo-East","No of Registered Electors",48760,NA
1982,"Colombo","Colombo-West","Mr.J.R. Jayawardene",22115,77.52
1982,"Colombo","Colombo-West","Mr.H.S.R.B.K. Kobbekaduwa",4751,16.65
1982,"Colombo","Colombo-West","Mr. Rohana Wijeweera",576,2.02
1982,"Colombo","Colombo-West","Mr.G.G. Ponnambalam",521,1.83
1982,"Colombo","Colombo-West","Dr. Colvin R. De Silva",9,0.03
1982,"Colombo","Colombo-West","Mr. Vasudeva Nanayakkara",156,0.55
1982,"Colombo","Colombo-West","Total No of Valid Votes",28528,98.91
1982,"Colombo","Colombo-West","No of Rejected Votes",314,1.09
1982,"Colombo","Colombo-West","Total No of Votes Polled",28842,71.44
1982,"Colombo","Colombo-West","No of Registered Electors",40375,NA
1982,"Colombo","Dehiwala","Mr.J.R. Jayawardene",23730,60.73
1982,"Colombo","Dehiwala","Mr.H.S.R.B.K. Kobbekaduwa",13194,33.76
1982,"Colombo","Dehiwala","Mr. Rohana Wijeweera",1139,2.91
1982,"Colombo","Dehiwala","Mr.G.G. Ponnambalam",201,0.51
1982,"Colombo","Dehiwala","Dr. Colvin R. De Silva",659,1.69
1982,"Colombo","Dehiwala","Mr. Vasudeva Nanayakkara",117,0.3
1982,"Colombo","Dehiwala","Total No of Valid Votes",39076,98.97
1982,"Colombo","Dehiwala","No of Rejected Votes",406,1.03
1982,"Colombo","Dehiwala","Total No of Votes Polled",39482,76.48
1982,"Colombo","Dehiwala","No of Registered Electors",51622,NA
1982,"Colombo","Ratmalana","Mr.J.R. Jayawardene",21280,55.88
1982,"Colombo","Ratmalana","Mr.H.S.R.B.K. Kobbekaduwa",14111,37.05
1982,"Colombo","Ratmalana","Mr. Rohana Wijeweera",1670,4.39
1982,"Colombo","Ratmalana","Mr.G.G. Ponnambalam",99,0.26
1982,"Colombo","Ratmalana","Dr. Colvin R. De Silva",778,2.04
1982,"Colombo","Ratmalana","Mr. Vasudeva Nanayakkara",146,0.38
1982,"Colombo","Ratmalana","Total No of Valid Votes",38084,98.92
1982,"Colombo","Ratmalana","No of Rejected Votes",415,1.08
1982,"Colombo","Ratmalana","Total No of Votes Polled",38499,76.59
1982,"Colombo","Ratmalana","No of Registered Electors",50269,NA
1982,"Colombo","Kolonnawa","Mr.J.R. Jayawardene",25221,51.35
1982,"Colombo","Kolonnawa","Mr.H.S.R.B.K. Kobbekaduwa",21153,43.07
1982,"Colombo","Kolonnawa","Mr. Rohana Wijeweera",2125,4.33
1982,"Colombo","Kolonnawa","Mr.G.G. Ponnambalam",29,0.06
1982,"Colombo","Kolonnawa","Dr. Colvin R. De Silva",504,1.03
1982,"Colombo","Kolonnawa","Mr. Vasudeva Nanayakkara",86,0.18
1982,"Colombo","Kolonnawa","Total No of Valid Votes",49118,98.9
1982,"Colombo","Kolonnawa","No of Rejected Votes",545,1.1
1982,"Colombo","Kolonnawa","Total No of Votes Polled",49663,79.43
1982,"Colombo","Kolonnawa","No of Registered Electors",62523,NA
1982,"Colombo","Kotte","Mr.J.R. Jayawardene",25129,56.67
1982,"Colombo","Kotte","Mr.H.S.R.B.K. Kobbekaduwa",14814,33.41
1982,"Colombo","Kotte","Mr. Rohana Wijeweera",1731,3.9
1982,"Colombo","Kotte","Mr.G.G. Ponnambalam",32,0.07
1982,"Colombo","Kotte","Dr. Colvin R. De Silva",527,1.19
1982,"Colombo","Kotte","Mr. Vasudeva Nanayakkara",108,0.24
1982,"Colombo","Kotte","Total No of Valid Votes",44341,99.16
1982,"Colombo","Kotte","No of Rejected Votes",374,0.84
1982,"Colombo","Kotte","Total No of Votes Polled",44715,75.73
1982,"Colombo","Kotte","No of Registered Electors",59048,NA
1982,"Colombo","Kaduwela","Mr.J.R. Jayawardene",27963,48.8
1982,"Colombo","Kaduwela","Mr.H.S.R.B.K. Kobbekaduwa",25275,44.11
1982,"Colombo","Kaduwela","Mr. Rohana Wijeweera",3338,5.83
1982,"Colombo","Kaduwela","Mr.G.G. Ponnambalam",33,0.06
1982,"Colombo","Kaduwela","Dr. Colvin R. De Silva",569,0.99
1982,"Colombo","Kaduwela","Mr. Vasudeva Nanayakkara",119,0.21
1982,"Colombo","Kaduwela","Total No of Valid Votes",57297,98.76
1982,"Colombo","Kaduwela","No of Rejected Votes",719,1.24
1982,"Colombo","Kaduwela","Total No of Votes Polled",58016,79.47
1982,"Colombo","Kaduwela","No of Registered Electors",73006,NA
1982,"Colombo","Avissawella","Mr.J.R. Jayawardene",26648,50.92
1982,"Colombo","Avissawella","Mr.H.S.R.B.K. Kobbekaduwa",23481,44.87
1982,"Colombo","Avissawella","Mr. Rohana Wijeweera",1687,3.22
1982,"Colombo","Avissawella","Mr.G.G. Ponnambalam",70,0.13
1982,"Colombo","Avissawella","Dr. Colvin R. De Silva",238,0.45
1982,"Colombo","Avissawella","Mr. Vasudeva Nanayakkara",205,0.39
1982,"Colombo","Avissawella","Total No of Valid Votes",52329,98.96
1982,"Colombo","Avissawella","No of Rejected Votes",551,1.04
1982,"Colombo","Avissawella","Total No of Votes Polled",52880,84.44
1982,"Colombo","Avissawella","No of Registered Electors",62628,NA
1982,"Colombo","Homagama","Mr.J.R. Jayawardene",27981,51.72
1982,"Colombo","Homagama","Mr.H.S.R.B.K. Kobbekaduwa",23135,42.76
1982,"Colombo","Homagama","Mr. Rohana Wijeweera",2140,3.96
1982,"Colombo","Homagama","Mr.G.G. Ponnambalam",50,0.09
1982,"Colombo","Homagama","Dr. Colvin R. De Silva",591,1.09
1982,"Colombo","Homagama","Mr. Vasudeva Nanayakkara",205,0.38
1982,"Colombo","Homagama","Total No of Valid Votes",54102,99
1982,"Colombo","Homagama","No of Rejected Votes",548,1
1982,"Colombo","Homagama","Total No of Votes Polled",54650,79.25
1982,"Colombo","Homagama","No of Registered Electors",68955,NA
1982,"Colombo","Maharagama","Mr.J.R. Jayawardene",26967,49.46
1982,"Colombo","Maharagama","Mr.H.S.R.B.K. Kobbekaduwa",23874,43.79
1982,"Colombo","Maharagama","Mr. Rohana Wijeweera",2595,4.76
1982,"Colombo","Maharagama","Mr.G.G. Ponnambalam",27,0.05
1982,"Colombo","Maharagama","Dr. Colvin R. De Silva",946,1.73
1982,"Colombo","Maharagama","Mr. Vasudeva Nanayakkara",116,0.21
1982,"Colombo","Maharagama","Total No of Valid Votes",54525,98.92
1982,"Colombo","Maharagama","No of Rejected Votes",593,1.08
1982,"Colombo","Maharagama","Total No of Votes Polled",55118,76.98
1982,"Colombo","Maharagama","No of Registered Electors",71597,NA
1982,"Colombo","Kesbewa","Mr.J.R. Jayawardene",25576,46.16
1982,"Colombo","Kesbewa","Mr.H.S.R.B.K. Kobbekaduwa",26553,47.92
1982,"Colombo","Kesbewa","Mr. Rohana Wijeweera",2248,4.06
1982,"Colombo","Kesbewa","Mr.G.G. Ponnambalam",29,0.05
1982,"Colombo","Kesbewa","Dr. Colvin R. De Silva",851,1.54
1982,"Colombo","Kesbewa","Mr. Vasudeva Nanayakkara",150,0.27
1982,"Colombo","Kesbewa","Total No of Valid Votes",55407,99.05
1982,"Colombo","Kesbewa","No of Rejected Votes",530,0.95
1982,"Colombo","Kesbewa","Total No of Votes Polled",55937,78.78
1982,"Colombo","Kesbewa","No of Registered Electors",71002,NA
1982,"Colombo","Moratuwa","Mr.J.R. Jayawardene",32096,54.6
1982,"Colombo","Moratuwa","Mr.H.S.R.B.K. Kobbekaduwa",22744,38.69
1982,"Colombo","Moratuwa","Mr. Rohana Wijeweera",2625,4.47
1982,"Colombo","Moratuwa","Mr.G.G. Ponnambalam",43,0.07
1982,"Colombo","Moratuwa","Dr. Colvin R. De Silva",1137,1.93
1982,"Colombo","Moratuwa","Mr. Vasudeva Nanayakkara",137,0.23
1982,"Colombo","Moratuwa","Total No of Valid Votes",58782,98.81
1982,"Colombo","Moratuwa","No of Rejected Votes",707,1.19
1982,"Colombo","Moratuwa","Total No of Votes Polled",59489,74.09
1982,"Colombo","Moratuwa","No of Registered Electors",80297,NA
1982,"Colombo","Postal District Votes","Mr.J.R. Jayawardene",11108,59.21
1982,"Colombo","Postal District Votes","Mr.H.S.R.B.K. Kobbekaduwa",6475,34.51
1982,"Colombo","Postal District Votes","Mr. Rohana Wijeweera",530,2.83
1982,"Colombo","Postal District Votes","Mr.G.G. Ponnambalam",149,0.79
1982,"Colombo","Postal District Votes","Dr. Colvin R. De Silva",411,2.19
1982,"Colombo","Postal District Votes","Mr. Vasudeva Nanayakkara",88,0.47
1982,"Colombo","Postal District Votes","Total No of Valid Votes",18761,98.73
1982,"Colombo","Postal District Votes","No of Rejected Votes",242,1.27
1982,"Colombo","Postal District Votes","Total No of Votes Polled",19003,NA
1982,"Colombo","Final District Results","Mr.J.R. Jayawardene",436290,57.71
1982,"Colombo","Final District Results","Mr.H.S.R.B.K. Kobbekaduwa",274476,36.3
1982,"Colombo","Final District Results","Mr. Rohana Wijeweera",28580,3.78
1982,"Colombo","Final District Results","Mr.G.G. Ponnambalam",3022,0.4
1982,"Colombo","Final District Results","Dr. Colvin R. De Silva",9219,1.28
1982,"Colombo","Final District Results","Mr. Vasudeva Nanayakkara",2008,0.27
1982,"Colombo","Final District Results","Total No of Valid Votes",756031,98.95
1982,"Colombo","Final District Results","No of Rejected Votes",7990,1.05
1982,"Colombo","Final District Results","Total No of Votes Polled",764021,78.59
1982,"Colombo","Final District Results","No of Registered Electors",972191,NA
1982,"Gampaha","Wattala","Mr.J.R. Jayawardene",29387,62.64
1982,"Gampaha","Wattala","Mr.H.S.R.B.K. Kobbekaduwa",15717,33.5
1982,"Gampaha","Wattala","Mr. Rohana Wijeweera",1402,2.99
1982,"Gampaha","Wattala","Mr.G.G. Ponnambalam",119,0.25
1982,"Gampaha","Wattala","Dr. Colvin R. De Silva",232,0.49
1982,"Gampaha","Wattala","Mr. Vasudeva Nanayakkara",59,0.13
1982,"Gampaha","Wattala","Total No of Valid Votes",46916,99.1
1982,"Gampaha","Wattala","No of Rejected Votes",425,0.9
1982,"Gampaha","Wattala","Total No of Votes Polled",47341,81.6
1982,"Gampaha","Wattala","No of Registered Electors",58015,NA
1982,"Gampaha","Negombo","Mr.J.R. Jayawardene",30346,67.14
1982,"Gampaha","Negombo","Mr.H.S.R.B.K. Kobbekaduwa",13345,29.52
1982,"Gampaha","Negombo","Mr. Rohana Wijeweera",1049,2.32
1982,"Gampaha","Negombo","Mr.G.G. Ponnambalam",97,0.21
1982,"Gampaha","Negombo","Dr. Colvin R. De Silva",236,0.52
1982,"Gampaha","Negombo","Mr. Vasudeva Nanayakkara",127,0.28
1982,"Gampaha","Negombo","Total No of Valid Votes",45200,99.1
1982,"Gampaha","Negombo","No of Rejected Votes",412,0.9
1982,"Gampaha","Negombo","Total No of Votes Polled",45612,76.17
1982,"Gampaha","Negombo","No of Registered Electors",59884,NA
1982,"Gampaha","Katana","Mr.J.R. Jayawardene",26504,52.63
1982,"Gampaha","Katana","Mr.H.S.R.B.K. Kobbekaduwa",22027,43.74
1982,"Gampaha","Katana","Mr. Rohana Wijeweera",1356,2.69
1982,"Gampaha","Katana","Mr.G.G. Ponnambalam",36,0.07
1982,"Gampaha","Katana","Dr. Colvin R. De Silva",334,0.66
1982,"Gampaha","Katana","Mr. Vasudeva Nanayakkara",104,0.21
1982,"Gampaha","Katana","Total No of Valid Votes",50361,99.14
1982,"Gampaha","Katana","No of Rejected Votes",437,0.86
1982,"Gampaha","Katana","Total No of Votes Polled",50798,83.88
1982,"Gampaha","Katana","No of Registered Electors",60560,NA
1982,"Gampaha","Divulapitiya","Mr.J.R. Jayawardene",25974,50.63
1982,"Gampaha","Divulapitiya","Mr.H.S.R.B.K. Kobbekaduwa",23447,45.7
1982,"Gampaha","Divulapitiya","Mr. Rohana Wijeweera",1547,3.02
1982,"Gampaha","Divulapitiya","Mr.G.G. Ponnambalam",28,0.05
1982,"Gampaha","Divulapitiya","Dr. Colvin R. De Silva",231,0.45
1982,"Gampaha","Divulapitiya","Mr. Vasudeva Nanayakkara",79,0.15
1982,"Gampaha","Divulapitiya","Total No of Valid Votes",51306,99.17
1982,"Gampaha","Divulapitiya","No of Rejected Votes",432,0.83
1982,"Gampaha","Divulapitiya","Total No of Votes Polled",51738,84.14
1982,"Gampaha","Divulapitiya","No of Registered Electors",61494,NA
1982,"Gampaha","Mirigama","Mr.J.R. Jayawardene",30289,52.2
1982,"Gampaha","Mirigama","Mr.H.S.R.B.K. Kobbekaduwa",24143,41.6
1982,"Gampaha","Mirigama","Mr. Rohana Wijeweera",3186,5.49
1982,"Gampaha","Mirigama","Mr.G.G. Ponnambalam",29,0.05
1982,"Gampaha","Mirigama","Dr. Colvin R. De Silva",316,0.54
1982,"Gampaha","Mirigama","Mr. Vasudeva Nanayakkara",67,0.12
1982,"Gampaha","Mirigama","Total No of Valid Votes",58030,99.18
1982,"Gampaha","Mirigama","No of Rejected Votes",478,0.82
1982,"Gampaha","Mirigama","Total No of Votes Polled",58508,82.76
1982,"Gampaha","Mirigama","No of Registered Electors",70695,NA
1982,"Gampaha","Minuwangoda","Mr.J.R. Jayawardene",29672,51.27
1982,"Gampaha","Minuwangoda","Mr.H.S.R.B.K. Kobbekaduwa",25849,44.67
1982,"Gampaha","Minuwangoda","Mr. Rohana Wijeweera",1992,3.44
1982,"Gampaha","Minuwangoda","Mr.G.G. Ponnambalam",27,0.05
1982,"Gampaha","Minuwangoda","Dr. Colvin R. De Silva",260,0.45
1982,"Gampaha","Minuwangoda","Mr. Vasudeva Nanayakkara",70,0.12
1982,"Gampaha","Minuwangoda","Total No of Valid Votes",57870,99.32
1982,"Gampaha","Minuwangoda","No of Rejected Votes",399,0.68
1982,"Gampaha","Minuwangoda","Total No of Votes Polled",58269,83.76
1982,"Gampaha","Minuwangoda","No of Registered Electors",69566,NA
1982,"Gampaha","Attanagalla","Mr.J.R. Jayawardene",22531,40
1982,"Gampaha","Attanagalla","Mr.H.S.R.B.K. Kobbekaduwa",31495,55.92
1982,"Gampaha","Attanagalla","Mr. Rohana Wijeweera",1926,3.42
1982,"Gampaha","Attanagalla","Mr.G.G. Ponnambalam",32,0.06
1982,"Gampaha","Attanagalla","Dr. Colvin R. De Silva",272,0.48
1982,"Gampaha","Attanagalla","Mr. Vasudeva Nanayakkara",65,0.12
1982,"Gampaha","Attanagalla","Total No of Valid Votes",56321,99.24
1982,"Gampaha","Attanagalla","No of Rejected Votes",430,0.76
1982,"Gampaha","Attanagalla","Total No of Votes Polled",56751,84.63
1982,"Gampaha","Attanagalla","No of Registered Electors",67061,NA
1982,"Gampaha","Gampaha","Mr.J.R. Jayawardene",27845,47.36
1982,"Gampaha","Gampaha","Mr.H.S.R.B.K. Kobbekaduwa",28532,48.53
1982,"Gampaha","Gampaha","Mr. Rohana Wijeweera",1942,3.3
1982,"Gampaha","Gampaha","Mr.G.G. Ponnambalam",33,0.06
1982,"Gampaha","Gampaha","Dr. Colvin R. De Silva",336,0.57
1982,"Gampaha","Gampaha","Mr. Vasudeva Nanayakkara",101,0.17
1982,"Gampaha","Gampaha","Total No of Valid Votes",58789,99.13
1982,"Gampaha","Gampaha","No of Rejected Votes",517,0.87
1982,"Gampaha","Gampaha","Total No of Votes Polled",59306,81.95
1982,"Gampaha","Gampaha","No of Registered Electors",72371,NA
1982,"Gampaha","Ja-Ela","Mr.J.R. Jayawardene",32420,58.2
1982,"Gampaha","Ja-Ela","Mr.H.S.R.B.K. Kobbekaduwa",21074,37.83
1982,"Gampaha","Ja-Ela","Mr. Rohana Wijeweera",1683,3.02
1982,"Gampaha","Ja-Ela","Mr.G.G. Ponnambalam",29,0.05
1982,"Gampaha","Ja-Ela","Dr. Colvin R. De Silva",346,0.62
1982,"Gampaha","Ja-Ela","Mr. Vasudeva Nanayakkara",157,0.28
1982,"Gampaha","Ja-Ela","Total No of Valid Votes",55709,99.13
1982,"Gampaha","Ja-Ela","No of Rejected Votes",488,0.87
1982,"Gampaha","Ja-Ela","Total No of Votes Polled",56197,80.71
1982,"Gampaha","Ja-Ela","No of Registered Electors",69624,NA
1982,"Gampaha","Mahara","Mr.J.R. Jayawardene",25853,48.07
1982,"Gampaha","Mahara","Mr.H.S.R.B.K. Kobbekaduwa",25580,47.57
1982,"Gampaha","Mahara","Mr. Rohana Wijeweera",1952,3.63
1982,"Gampaha","Mahara","Mr.G.G. Ponnambalam",17,0.03
1982,"Gampaha","Mahara","Dr. Colvin R. De Silva",307,0.57
1982,"Gampaha","Mahara","Mr. Vasudeva Nanayakkara",69,0.13
1982,"Gampaha","Mahara","Total No of Valid Votes",53778,99.23
1982,"Gampaha","Mahara","No of Rejected Votes",418,0.77
1982,"Gampaha","Mahara","Total No of Votes Polled",54196,82.54
1982,"Gampaha","Mahara","No of Registered Electors",65660,NA
1982,"Gampaha","Dompe","Mr.J.R. Jayawardene",26573,47.38
1982,"Gampaha","Dompe","Mr.H.S.R.B.K. Kobbekaduwa",27508,49.04
1982,"Gampaha","Dompe","Mr. Rohana Wijeweera",1670,3.19
1982,"Gampaha","Dompe","Mr.G.G. Ponnambalam",33,0.06
1982,"Gampaha","Dompe","Dr. Colvin R. De Silva",247,0.47
1982,"Gampaha","Dompe","Mr. Vasudeva Nanayakkara",57,0.11
