"","Year","District","Electorate","ColNames","Votes","Percentage"
"1",1982,"Colombo","Colombo-North","Mr.J.R. Jayawardene",29380,69.03
"2",1982,"Colombo","Colombo-North","Mr.H.S.R.B.K. Kobbekaduwa",10641,25
"3",1982,"Colombo","Colombo-North","Mr. Rohana Wijeweera",1645,3.86
"4",1982,"Colombo","Colombo-North","Mr.G.G. Ponnambalam",477,1.12
"5",1982,"Colombo","Colombo-North","Dr. Colvin R. De Silva",361,0.85
"6",1982,"Colombo","Colombo-North","Mr. Vasudeva Nanayakkara",60,0.14
"7",1982,"Colombo","Colombo-North","Total No of Valid Votes",42564,98.67
"8",1982,"Colombo","Colombo-North","No of Rejected Votes",575,1.33
"9",1982,"Colombo","Colombo-North","Total No of Votes Polled",43139,74.98
"10",1982,"Colombo","Colombo-North","No of Registered Electors",57534,NA
"11",1982,"Colombo","Colombo-Central","Mr.J.R. Jayawardene",68346,72.81
"12",1982,"Colombo","Colombo-Central","Mr.H.S.R.B.K. Kobbekaduwa",22061,23.5
"13",1982,"Colombo","Colombo-Central","Mr. Rohana Wijeweera",2121,2.26
"14",1982,"Colombo","Colombo-Central","Mr.G.G. Ponnambalam",810,0.86
"15",1982,"Colombo","Colombo-Central","Dr. Colvin R. De Silva",415,0.44
"16",1982,"Colombo","Colombo-Central","Mr. Vasudeva Nanayakkara",110,0.12
"17",1982,"Colombo","Colombo-Central","Total No of Valid Votes",93863,99.22
"18",1982,"Colombo","Colombo-Central","No of Rejected Votes",740,0.78
"19",1982,"Colombo","Colombo-Central","Total No of Votes Polled",94603,74.23
"20",1982,"Colombo","Colombo-Central","No of Registered Electors",127452,NA
"21",1982,"Colombo","Borella","Mr.J.R. Jayawardene",21383,62.93
"22",1982,"Colombo","Borella","Mr.H.S.R.B.K. Kobbekaduwa",10946,32.22
"23",1982,"Colombo","Borella","Mr. Rohana Wijeweera",1058,3.11
"24",1982,"Colombo","Borella","Mr.G.G. Ponnambalam",132,0.39
"25",1982,"Colombo","Borella","Dr. Colvin R. De Silva",395,1.16
"26",1982,"Colombo","Borella","Mr. Vasudeva Nanayakkara",63,0.19
"27",1982,"Colombo","Borella","Total No of Valid Votes",33977,99.11
"28",1982,"Colombo","Borella","No of Rejected Votes",305,0.89
"29",1982,"Colombo","Borella","Total No of Votes Polled",34282,72.75
"30",1982,"Colombo","Borella","No of Registered Electors",47123,NA
"31",1982,"Colombo","Colombo-East","Mr.J.R. Jayawardene",21367,60.57
"32",1982,"Colombo","Colombo-East","Mr.H.S.R.B.K. Kobbekaduwa",11268,31.94
"33",1982,"Colombo","Colombo-East","Mr. Rohana Wijeweera",1352,3.83
"34",1982,"Colombo","Colombo-East","Mr.G.G. Ponnambalam",320,0.91
"35",1982,"Colombo","Colombo-East","Dr. Colvin R. De Silva",828,2.35
"36",1982,"Colombo","Colombo-East","Mr. Vasudeva Nanayakkara",142,0.4
"37",1982,"Colombo","Colombo-East","Total No of Valid Votes",35277,98.81
"38",1982,"Colombo","Colombo-East","No of Rejected Votes",426,1.19
"39",1982,"Colombo","Colombo-East","Total No of Votes Polled",35703,73.22
"40",1982,"Colombo","Colombo-East","No of Registered Electors",48760,NA
"41",1982,"Colombo","Colombo-West","Mr.J.R. Jayawardene",22115,77.52
"42",1982,"Colombo","Colombo-West","Mr.H.S.R.B.K. Kobbekaduwa",4751,16.65
"43",1982,"Colombo","Colombo-West","Mr. Rohana Wijeweera",576,2.02
"44",1982,"Colombo","Colombo-West","Mr.G.G. Ponnambalam",521,1.83
"45",1982,"Colombo","Colombo-West","Dr. Colvin R. De Silva",9,0.03
"46",1982,"Colombo","Colombo-West","Mr. Vasudeva Nanayakkara",156,0.55
"47",1982,"Colombo","Colombo-West","Total No of Valid Votes",28528,98.91
"48",1982,"Colombo","Colombo-West","No of Rejected Votes",314,1.09
"49",1982,"Colombo","Colombo-West","Total No of Votes Polled",28842,71.44
"50",1982,"Colombo","Colombo-West","No of Registered Electors",40375,NA
"51",1982,"Colombo","Dehiwala","Mr.J.R. Jayawardene",23730,60.73
"52",1982,"Colombo","Dehiwala","Mr.H.S.R.B.K. Kobbekaduwa",13194,33.76
"53",1982,"Colombo","Dehiwala","Mr. Rohana Wijeweera",1139,2.91
"54",1982,"Colombo","Dehiwala","Mr.G.G. Ponnambalam",201,0.51
"55",1982,"Colombo","Dehiwala","Dr. Colvin R. De Silva",659,1.69
"56",1982,"Colombo","Dehiwala","Mr. Vasudeva Nanayakkara",117,0.3
"57",1982,"Colombo","Dehiwala","Total No of Valid Votes",39076,98.97
"58",1982,"Colombo","Dehiwala","No of Rejected Votes",406,1.03
"59",1982,"Colombo","Dehiwala","Total No of Votes Polled",39482,76.48
"60",1982,"Colombo","Dehiwala","No of Registered Electors",51622,NA
"61",1982,"Colombo","Ratmalana","Mr.J.R. Jayawardene",21280,55.88
"62",1982,"Colombo","Ratmalana","Mr.H.S.R.B.K. Kobbekaduwa",14111,37.05
"63",1982,"Colombo","Ratmalana","Mr. Rohana Wijeweera",1670,4.39
"64",1982,"Colombo","Ratmalana","Mr.G.G. Ponnambalam",99,0.26
"65",1982,"Colombo","Ratmalana","Dr. Colvin R. De Silva",778,2.04
"66",1982,"Colombo","Ratmalana","Mr. Vasudeva Nanayakkara",146,0.38
"67",1982,"Colombo","Ratmalana","Total No of Valid Votes",38084,98.92
"68",1982,"Colombo","Ratmalana","No of Rejected Votes",415,1.08
"69",1982,"Colombo","Ratmalana","Total No of Votes Polled",38499,76.59
"70",1982,"Colombo","Ratmalana","No of Registered Electors",50269,NA
"71",1982,"Colombo","Kolonnawa","Mr.J.R. Jayawardene",25221,51.35
"72",1982,"Colombo","Kolonnawa","Mr.H.S.R.B.K. Kobbekaduwa",21153,43.07
"73",1982,"Colombo","Kolonnawa","Mr. Rohana Wijeweera",2125,4.33
"74",1982,"Colombo","Kolonnawa","Mr.G.G. Ponnambalam",29,0.06
"75",1982,"Colombo","Kolonnawa","Dr. Colvin R. De Silva",504,1.03
"76",1982,"Colombo","Kolonnawa","Mr. Vasudeva Nanayakkara",86,0.18
"77",1982,"Colombo","Kolonnawa","Total No of Valid Votes",49118,98.9
"78",1982,"Colombo","Kolonnawa","No of Rejected Votes",545,1.1
"79",1982,"Colombo","Kolonnawa","Total No of Votes Polled",49663,79.43
"80",1982,"Colombo","Kolonnawa","No of Registered Electors",62523,NA
"81",1982,"Colombo","Kotte","Mr.J.R. Jayawardene",25129,56.67
"82",1982,"Colombo","Kotte","Mr.H.S.R.B.K. Kobbekaduwa",14814,33.41
"83",1982,"Colombo","Kotte","Mr. Rohana Wijeweera",1731,3.9
"84",1982,"Colombo","Kotte","Mr.G.G. Ponnambalam",32,0.07
"85",1982,"Colombo","Kotte","Dr. Colvin R. De Silva",527,1.19
"86",1982,"Colombo","Kotte","Mr. Vasudeva Nanayakkara",108,0.24
"87",1982,"Colombo","Kotte","Total No of Valid Votes",44341,99.16
"88",1982,"Colombo","Kotte","No of Rejected Votes",374,0.84
"89",1982,"Colombo","Kotte","Total No of Votes Polled",44715,75.73
"90",1982,"Colombo","Kotte","No of Registered Electors",59048,NA
"91",1982,"Colombo","Kaduwela","Mr.J.R. Jayawardene",27963,48.8
"92",1982,"Colombo","Kaduwela","Mr.H.S.R.B.K. Kobbekaduwa",25275,44.11
"93",1982,"Colombo","Kaduwela","Mr. Rohana Wijeweera",3338,5.83
